v,vw,o,c,h,l,t,n,timestamp
23209260.0,259.0721,260.19,258.74,261.48,257.821,1618804800000,293641,2021-04-19 04:00:00
19722875.0,258.2719,257.82,258.26,260.2,256.84,1618891200000,281309,2021-04-20 04:00:00
23990383.0,259.575,258.94,260.58,260.68,257.25,1618977600000,272767,2021-04-21 04:00:00
25593777.0,258.419,260.21,257.17,261.78,255.64,1619064000000,368851,2021-04-22 04:00:00
21499286.0,260.377,257.88,261.15,261.51,257.27,1619150400000,248124,2021-04-23 04:00:00
19763346.0,261.3754,261.66,261.55,262.435,260.17,1619409600000,261642,2021-04-26 04:00:00
30764213.0,260.0699,261.585,261.97,263.19,260.12,1619496000000,405196,2021-04-27 04:00:00
46903119.0,254.5516,256.078,254.56,256.5399,252.95,1619582400000,640658,2021-04-28 04:00:00
40589023.0,251.8285,255.46,252.51,256.1,249.0,1619668800000,556646,2021-04-29 04:00:00
30945098.0,251.6108,249.74,252.18,253.08,249.6,1619755200000,358913,2021-04-30 04:00:00
19426568.0,252.3653,253.4,251.86,254.35,251.12,1620014400000,300183,2021-05-03 04:00:00
32756052.0,247.5786,250.97,247.79,251.21,245.76,1620100800000,444266,2021-05-04 04:00:00
21888125.0,247.7274,249.06,246.47,249.5,245.82,1620187200000,276824,2021-05-05 04:00:00
26478085.0,247.6608,246.45,249.73,249.86,244.69,1620273600000,336494,2021-05-06 04:00:00
27032912.0,252.7538,252.15,252.46,254.3,251.17,1620360000000,303497,2021-05-07 04:00:00
29299890.0,248.6859,250.87,247.18,251.73,247.12,1620619200000,303212,2021-05-10 04:00:00
33641589.0,245.2323,244.55,246.23,246.6,242.57,1620705600000,389102,2021-05-11 04:00:00
36684370.0,240.0312,242.165,239.0,244.38,238.07,1620792000000,436656,2021-05-12 04:00:00
29585298.0,243.3712,241.8,243.03,245.6,241.42,1620878400000,367834,2021-05-13 04:00:00
23901081.0,247.9397,245.575,248.15,249.18,245.49,1620964800000,279555,2021-05-14 04:00:00
24970168.0,244.8521,246.55,245.18,246.59,243.52,1621224000000,292523,2021-05-17 04:00:00
20167975.0,244.6274,246.27,243.08,246.41,242.9,1621310400000,235575,2021-05-18 04:00:00
25739807.0,241.5888,239.31,243.12,243.23,238.6,1621396800000,340725,2021-05-19 04:00:00
21800716.0,246.5319,243.96,246.48,247.95,243.86,1621483200000,226710,2021-05-20 04:00:00
21830058.0,245.9809,247.565,245.17,248.33,244.74,1621569600000,233481,2021-05-21 04:00:00
21411547.0,250.3348,247.785,250.78,251.16,247.51,1621828800000,239776,2021-05-24 04:00:00
17700303.0,251.4842,251.769,251.72,252.75,250.82,1621915200000,212083,2021-05-25 04:00:00
17771600.0,251.3609,251.43,251.49,252.94,250.75,1622001600000,195777,2021-05-26 04:00:00
24426244.0,249.9316,251.17,249.31,251.48,249.25,1622088000000,223093,2021-05-27 04:00:00
18265642.0,250.6562,250.995,249.68,252.08,249.56,1622174400000,190179,2021-05-28 04:00:00
23213310.0,248.592,251.23,247.4,251.29,246.96,1622520000000,266678,2021-06-01 04:00:00
19406705.0,247.6484,248.125,247.3,249.27,245.84,1622606400000,231542,2021-06-02 04:00:00
25108111.0,245.0698,245.22,245.71,246.34,243.0,1622692800000,254084,2021-06-03 04:00:00
25281094.0,250.2145,247.76,250.79,251.65,247.51,1622779200000,246739,2021-06-04 04:00:00
23079167.0,252.6622,249.98,253.81,254.09,249.81,1623038400000,239409,2021-06-07 04:00:00
22454998.0,253.5686,255.16,252.57,256.01,252.51,1623124800000,239693,2021-06-08 04:00:00
17937634.0,254.2112,253.81,253.59,255.53,253.21,1623211200000,210570,2021-06-09 04:00:00
24563619.0,256.4281,254.29,257.24,257.46,253.67,1623297600000,264424,2021-06-10 04:00:00
18949731.0,257.5993,257.985,257.89,258.4868,256.61,1623384000000,220398,2021-06-11 04:00:00
19150507.0,258.7219,257.9,259.89,259.95,256.8,1623643200000,198533,2021-06-14 04:00:00
18016931.0,258.6822,259.775,258.36,259.99,257.68,1623729600000,209487,2021-06-15 04:00:00
27219955.0,257.8147,259.4,257.38,260.58,254.42,1623816000000,308926,2021-06-16 04:00:00
27565537.0,260.038,256.065,260.9,261.75,256.01,1623902400000,304743,2021-06-17 04:00:00
37162767.0,260.1638,259.63,259.43,262.3,258.75,1623988800000,316742,2021-06-18 04:00:00
26696119.0,261.9392,259.82,262.63,263.52,257.92,1624248000000,298361,2021-06-21 04:00:00
24694090.0,264.7953,262.72,265.51,265.79,262.4,1624334400000,253763,2021-06-22 04:00:00
19518681.0,265.3424,265.99,265.275,266.83,264.43,1624420800000,236577,2021-06-23 04:00:00
21346867.0,266.7737,266.16,266.69,267.85,265.47,1624507200000,235958,2021-06-24 04:00:00
23891113.0,265.3848,266.23,265.02,267.25,264.76,1624593600000,215061,2021-06-25 04:00:00
19590024.0,268.1287,266.185,268.72,268.9,265.91,1624852800000,239210,2021-06-28 04:00:00
19921311.0,270.4822,268.865,271.4,271.65,267.98,1624939200000,238419,2021-06-29 04:00:00
21547257.0,270.6723,270.69,270.9,271.3598,269.6043,1625025600000,232757,2021-06-30 04:00:00
16725323.0,270.7933,269.61,271.6,271.84,269.6,1625112000000,196894,2021-07-01 04:00:00
26474408.0,276.3861,272.82,277.65,278.0,272.5,1625198400000,283710,2021-07-02 04:00:00
31565556.0,277.4582,278.03,277.66,279.3698,274.3,1625544000000,365687,2021-07-06 04:00:00
23260031.0,279.6527,279.4,279.93,280.6945,277.15,1625630400000,299189,2021-07-07 04:00:00
24605941.0,277.1555,276.9,277.42,278.73,274.87,1625716800000,333194,2021-07-08 04:00:00
23676665.0,277.0749,275.72,277.94,278.05,275.32,1625803200000,264353,2021-07-09 04:00:00
18931695.0,277.5176,279.157,277.32,279.77,276.58,1626062400000,212250,2021-07-12 04:00:00
26120128.0,281.0168,277.52,280.98,282.8477,277.39,1626148800000,305657,2021-07-13 04:00:00
23113662.0,282.6312,282.345,282.51,283.66,280.55,1626235200000,268304,2021-07-14 04:00:00
22604227.0,281.0044,282.0,281.03,282.51,279.83,1626321600000,296274,2021-07-15 04:00:00
26186848.0,281.6857,282.07,280.75,284.1,279.46,1626408000000,283333,2021-07-16 04:00:00
32935634.0,277.0244,278.9335,277.01,280.37,274.45,1626667200000,405114,2021-07-19 04:00:00
26259741.0,279.0782,278.03,279.32,280.97,276.26,1626753600000,267195,2021-07-20 04:00:00
24364320.0,280.489,278.905,281.4,281.52,277.29,1626840000000,254890,2021-07-21 04:00:00
23384059.0,285.5054,283.84,286.14,286.42,283.42,1626926400000,257353,2021-07-22 04:00:00
22767371.0,288.9299,287.37,289.67,289.99,286.5,1627012800000,277182,2021-07-23 04:00:00
23153573.0,288.5004,289.0,289.05,289.69,286.642,1627272000000,260023,2021-07-26 04:00:00
33592179.0,285.3983,289.43,286.54,289.575,282.95,1627358400000,427018,2021-07-27 04:00:00
33506853.0,287.211,288.99,286.22,290.15,283.8303,1627444800000,392256,2021-07-28 04:00:00
18168294.0,286.8593,286.235,286.5,288.618,286.08,1627531200000,227631,2021-07-29 04:00:00
20944846.0,284.9562,285.17,284.91,286.66,283.91,1627617600000,258726,2021-07-30 04:00:00
